Model,Brand,Price_USD,Release_Year,Camera_MP,Battery_mAh,RAM_GB,Storage_GB,Chipset,Performance_Level,5G,Display_Size_inch,Display_Type,Weight_g
iPhone 49,Apple,726,2022,108,5727,8,64,Snapdragon 778G,High-end,Yes,5.58,OLED,169
Edge 3,Motorola,1030,2022,108,5809,16,64,Helio G88,Budget,Yes,6.11,OLED,225
Find 24,Oppo,486,2023,64,4934,6,128,Apple A15 Bionic,High-end,Yes,5.79,IPS LCD,169
C 54,Realme,1019,2024,200,4958,8,64,Dimensity 1080,Mid-range,Yes,6.29,AMOLED,225
Galaxy M 67,Samsung,1027,2020,64,4398,16,64,Helio G88,Budget,Yes,6.8,OLED,170
C 75,Realme,961,2022,64,5686,4,128,Helio G99,Budget,Yes,6.05,IPS LCD,219
G 2,Motorola,686,2019,50,4976,8,128,Apple A16 Bionic,Flagship,Yes,5.62,IPS LCD,213
Y 12,Vivo,269,2019,200,4617,6,256,Snapdragon 8 Gen 2,Flagship,Yes,6.51,OLED,186
G 36,Motorola,429,2021,12,3683,12,64,Snapdragon 778G,High-end,Yes,5.78,IPS LCD,209
Reno 5,Oppo,388,2021,48,3744,8,64,Helio G99,Budget,Yes,6.01,IPS LCD,204
Reno 11,Oppo,757,2021,50,5032,4,512,Apple A16 Bionic,Flagship,Yes,5.69,AMOLED,217
iPhone 10,Apple,731,2020,12,4443,8,64,Snapdragon 8 Gen 2,Flagship,Yes,6.0,OLED,154
Galaxy S 91,Samsung,1048,2019,200,4186,6,128,Apple A16 Bionic,Flagship,Yes,6.8,OLED,223
Edge 43,Motorola,1080,2021,48,5085,12,128,Dimensity 900,Mid-range,Yes,5.78,IPS LCD,219
Galaxy S 11,Samsung,530,2022,12,5952,4,64,Snapdragon 8 Gen 2,Flagship,Yes,6.0,AMOLED,172
G 72,Nokia,952,2023,12,5604,4,128,Apple A15 Bionic,High-end,Yes,6.5,OLED,209
Nord 81,OnePlus,1055,2024,48,4792,8,128,Apple A15 Bionic,High-end,Yes,6.64,AMOLED,183
Reno 71,Oppo,556,2020,50,4306,4,256,Snapdragon 8 Gen 1,Flagship,Yes,6.21,AMOLED,179
Edge 72,Motorola,183,2024,64,5499,6,256,Snapdragon 8 Gen 1,Flagship,Yes,6.46,AMOLED,162
Find 65,Oppo,1038,2019,64,3841,12,128,Helio G99,Budget,Yes,6.66,AMOLED,200
C 7,Realme,193,2024,108,3680,16,256,Snapdragon 8 Gen 1,Flagship,No,5.97,IPS LCD,214
Y 76,Vivo,976,2019,200,4083,12,128,Snapdragon 8 Gen 1,Flagship,Yes,5.73,OLED,164
OnePlus 74,OnePlus,830,2019,200,3839,16,512,Helio G88,Budget,Yes,6.08,IPS LCD,229
P 69,Huawei,452,2020,50,4069,16,128,Dimensity 900,Mid-range,Yes,5.72,AMOLED,201
P 62,Huawei,330,2023,12,4336,8,128,Snapdragon 8 Gen 1,Flagship,Yes,5.9,IPS LCD,222
Y 65,Vivo,312,2023,64,4880,12,256,Snapdragon 8 Gen 2,Flagship,Yes,6.7,AMOLED,151
GT 61,Realme,816,2021,50,5278,8,64,Apple A16 Bionic,Flagship,Yes,5.99,IPS LCD,170
iPhone 89,Apple,1109,2023,48,4693,12,64,Snapdragon 8 Gen 2,Flagship,Yes,5.82,OLED,155
C 64,Realme,1063,2019,64,3722,8,512,Snapdragon 8 Gen 1,Flagship,Yes,6.21,OLED,209
Poco 39,Xiaomi,760,2022,200,4928,4,256,Snapdragon 8 Gen 2,Flagship,Yes,6.06,IPS LCD,214
Nova 77,Huawei,622,2024,12,4198,6,128,Snapdragon 8 Gen 1,Flagship,Yes,6.78,IPS LCD,197
OnePlus 13,OnePlus,1144,2023,64,4440,4,64,Apple A15 Bionic,High-end,Yes,6.69,AMOLED,165
Reno 22,Oppo,287,2021,48,5391,16,128,Helio G99,Budget,Yes,5.61,IPS LCD,161
P 14,Huawei,975,2020,64,3757,8,64,Apple A15 Bionic,High-end,Yes,6.77,IPS LCD,195
G 10,Motorola,446,2024,48,4284,8,256,Snapdragon 695,Mid-range,Yes,6.11,OLED,154
GT 66,Realme,1160,2023,48,4182,12,64,Apple A15 Bionic,High-end,Yes,6.15,OLED,188
G 64,Nokia,519,2023,64,5700,16,512,Snapdragon 778G,High-end,Yes,5.83,OLED,233
OnePlus 48,OnePlus,267,2024,48,4638,6,256,Apple A15 Bionic,High-end,Yes,6.42,OLED,151
G 12,Nokia,989,2021,200,4219,8,128,Snapdragon 695,Mid-range,Yes,6.54,IPS LCD,199
P 44,Huawei,585,2019,50,5536,8,128,Snapdragon 8 Gen 2,Flagship,Yes,5.74,IPS LCD,182
Nova 32,Huawei,1060,2021,64,4187,6,256,Dimensity 900,Mid-range,Yes,6.36,AMOLED,205
iPhone 78,Apple,844,2022,50,4928,16,64,Snapdragon 695,Mid-range,Yes,6.5,OLED,161
P 27,Huawei,213,2021,12,4431,4,128,Helio G99,Budget,No,6.46,IPS LCD,223
iPhone 19,Apple,379,2023,200,3511,12,64,Snapdragon 695,Mid-range,Yes,6.32,OLED,227
iPhone 60,Apple,912,2020,50,4203,12,64,Snapdragon 8 Gen 1,Flagship,Yes,6.27,IPS LCD,223
Find 21,Oppo,172,2024,50,3698,16,128,Snapdragon 8 Gen 2,Flagship,Yes,5.58,IPS LCD,204
C 5,Realme,944,2021,48,3645,8,256,Snapdragon 8 Gen 1,Flagship,Yes,5.53,IPS LCD,157
Nord 61,OnePlus,754,2023,50,5684,12,64,Helio G88,Budget,Yes,6.07,OLED,230
OnePlus 95,OnePlus,1055,2020,48,5561,6,128,Helio G88,Budget,Yes,6.13,AMOLED,211
OnePlus 30,OnePlus,815,2020,12,5350,16,256,Dimensity 1080,Mid-range,Yes,6.36,IPS LCD,162
Find 17,Oppo,1142,2020,50,4830,6,256,Snapdragon 778G,High-end,Yes,6.2,AMOLED,168
X 39,Vivo,968,2024,108,5621,8,256,Apple A16 Bionic,Flagship,Yes,6.09,OLED,164
OnePlus 20,OnePlus,545,2021,64,3927,8,256,Apple A16 Bionic,Flagship,Yes,6.63,IPS LCD,207
Redmi Note 74,Xiaomi,552,2021,48,4437,16,512,Snapdragon 8 Gen 2,Flagship,Yes,5.9,IPS LCD,177
G 36,Nokia,374,2020,48,5484,4,512,Snapdragon 8 Gen 2,Flagship,Yes,6.44,IPS LCD,191
P 18,Huawei,959,2019,50,4389,6,256,Helio G88,Budget,Yes,6.55,IPS LCD,232
Galaxy S 61,Samsung,401,2023,200,4139,8,64,Snapdragon 695,Mid-range,Yes,6.12,OLED,240
iPhone 59,Apple,593,2020,50,4735,4,256,Helio G88,Budget,Yes,6.26,AMOLED,223
P 55,Huawei,434,2020,108,4128,4,128,Dimensity 900,Mid-range,Yes,5.77,AMOLED,216
X 6,Vivo,1065,2020,50,5192,8,256,Dimensity 900,Mid-range,Yes,6.48,AMOLED,213
OnePlus 21,OnePlus,188,2019,50,5688,4,256,Helio G88,Budget,No,6.14,AMOLED,180
X 47,Vivo,576,2020,50,5664,12,256,Snapdragon 8 Gen 2,Flagship,Yes,5.75,OLED,179
Galaxy S 1,Samsung,660,2020,48,3845,16,128,Dimensity 1080,Mid-range,Yes,6.47,AMOLED,235
OnePlus 45,OnePlus,548,2019,48,5707,4,256,Dimensity 1080,Mid-range,Yes,6.7,OLED,185
Edge 97,Motorola,151,2023,50,4650,12,512,Dimensity 900,Mid-range,No,6.63,AMOLED,168
P 79,Huawei,266,2019,200,5063,4,256,Helio G99,Budget,Yes,6.3,AMOLED,173
OnePlus 40,OnePlus,844,2019,200,3792,6,64,Helio G99,Budget,Yes,5.75,OLED,210
C 68,Realme,918,2022,48,5518,6,128,Snapdragon 695,Mid-range,Yes,6.71,AMOLED,235
Redmi Note 8,Xiaomi,794,2021,64,4993,6,512,Apple A15 Bionic,High-end,Yes,5.83,OLED,206
X 21,Nokia,921,2024,108,3824,16,128,Helio G99,Budget,Yes,6.19,OLED,208
Y 60,Vivo,834,2019,48,3860,12,512,Snapdragon 778G,High-end,Yes,6.63,AMOLED,185
G 77,Nokia,212,2019,64,3866,12,128,Snapdragon 8 Gen 1,Flagship,Yes,5.99,AMOLED,164
Nord 67,OnePlus,1022,2023,108,4531,8,256,Helio G99,Budget,Yes,6.21,OLED,196
Nova 54,Huawei,236,2022,200,4192,4,64,Apple A16 Bionic,Flagship,No,6.17,OLED,153
Galaxy S 85,Samsung,564,2022,108,4455,8,512,Helio G88,Budget,Yes,6.67,OLED,227
P 25,Huawei,1186,2022,200,5887,8,256,Apple A16 Bionic,Flagship,Yes,5.62,OLED,198
Edge 13,Motorola,729,2021,64,4135,8,64,Dimensity 900,Mid-range,Yes,5.89,OLED,183
Y 18,Vivo,480,2020,50,4722,12,256,Helio G99,Budget,Yes,5.92,IPS LCD,161
Redmi Note 41,Xiaomi,261,2021,12,5277,16,128,Snapdragon 778G,High-end,Yes,6.84,IPS LCD,191
C 44,Realme,771,2024,64,5928,16,512,Apple A16 Bionic,Flagship,Yes,5.57,IPS LCD,185
Galaxy S 46,Samsung,202,2023,50,5848,8,256,Snapdragon 695,Mid-range,Yes,5.59,OLED,194
G 94,Motorola,165,2019,200,3949,6,64,Helio G88,Budget,Yes,6.25,OLED,153
G 75,Nokia,426,2021,200,5147,8,512,Dimensity 900,Mid-range,Yes,6.62,AMOLED,192
Poco 9,Xiaomi,682,2019,64,3991,16,128,Helio G99,Budget,Yes,5.52,OLED,209
Redmi Note 37,Xiaomi,308,2024,12,5617,8,256,Snapdragon 8 Gen 1,Flagship,Yes,6.57,AMOLED,207
GT 80,Realme,1188,2022,64,4547,12,512,Snapdragon 778G,High-end,Yes,6.69,AMOLED,240
P 14,Huawei,169,2024,64,4966,4,128,Apple A16 Bionic,Flagship,Yes,5.87,IPS LCD,238
C 78,Realme,563,2021,12,3665,12,64,Snapdragon 8 Gen 2,Flagship,Yes,6.22,OLED,214
G 37,Motorola,234,2020,50,5713,12,128,Snapdragon 778G,High-end,Yes,5.68,OLED,215
C 19,Realme,597,2023,108,3567,16,64,Snapdragon 778G,High-end,Yes,6.53,IPS LCD,172
Galaxy A 76,Samsung,992,2022,12,4638,12,256,Dimensity 1080,Mid-range,Yes,5.97,AMOLED,208
GT 14,Realme,850,2022,48,3598,16,128,Apple A16 Bionic,Flagship,Yes,6.47,IPS LCD,154
Galaxy M 86,Samsung,387,2023,64,5096,8,512,Dimensity 1080,Mid-range,Yes,5.55,IPS LCD,223
Poco 27,Xiaomi,1131,2022,64,4415,16,64,Snapdragon 778G,High-end,Yes,5.85,OLED,202
GT 68,Realme,525,2020,200,4732,4,256,Helio G99,Budget,Yes,6.14,AMOLED,198
Reno 94,Oppo,1124,2022,48,4247,8,512,Dimensity 1080,Mid-range,Yes,6.14,IPS LCD,240
Reno 11,Oppo,1022,2021,50,5462,8,64,Dimensity 900,Mid-range,Yes,6.57,AMOLED,221
iPhone 33,Apple,467,2021,48,5428,4,128,Snapdragon 695,Mid-range,Yes,6.16,IPS LCD,176
G 33,Nokia,386,2024,12,4618,6,512,Helio G88,Budget,Yes,6.2,IPS LCD,180
P 56,Huawei,543,2022,200,4638,12,256,Snapdragon 695,Mid-range,Yes,5.73,OLED,202
Reno 92,Oppo,692,2020,108,5337,8,256,Apple A16 Bionic,Flagship,Yes,6.81,IPS LCD,217
iPhone 91,Apple,1096,2019,48,4803,6,64,Dimensity 900,Mid-range,Yes,6.19,IPS LCD,185
Redmi Note 72,Xiaomi,501,2024,48,3812,12,512,Helio G88,Budget,Yes,6.31,OLED,232
Redmi Note 20,Xiaomi,725,2020,200,3937,12,128,Dimensity 1080,Mid-range,Yes,6.54,IPS LCD,238
OnePlus 94,OnePlus,463,2022,48,4837,16,512,Apple A15 Bionic,High-end,Yes,5.54,AMOLED,177
Find 49,Oppo,168,2020,50,3711,16,256,Snapdragon 8 Gen 1,Flagship,Yes,6.39,OLED,225
Nord 28,OnePlus,610,2021,12,4427,16,512,Dimensity 900,Mid-range,Yes,5.96,OLED,175
Galaxy A 11,Samsung,1016,2023,48,4522,12,256,Dimensity 1080,Mid-range,Yes,6.67,OLED,178
Find 80,Oppo,1143,2021,64,5888,8,512,Helio G99,Budget,Yes,5.8,AMOLED,200
P 20,Huawei,354,2020,64,5523,4,256,Apple A16 Bionic,Flagship,Yes,5.77,IPS LCD,179
X 21,Nokia,568,2024,12,4790,4,64,Dimensity 900,Mid-range,Yes,6.83,OLED,216
Edge 86,Motorola,444,2024,48,3838,4,512,Snapdragon 695,Mid-range,Yes,6.63,AMOLED,170
C 11,Realme,167,2021,108,4385,12,512,Helio G88,Budget,Yes,5.91,AMOLED,196
iPhone 97,Apple,1027,2022,50,3706,4,512,Snapdragon 8 Gen 2,Flagship,Yes,5.96,OLED,216
iPhone 82,Apple,160,2019,50,4191,8,128,Snapdragon 778G,High-end,No,6.02,IPS LCD,166
iPhone 11,Apple,735,2019,48,4877,6,128,Dimensity 900,Mid-range,Yes,5.5,AMOLED,159
Redmi Note 52,Xiaomi,1189,2024,12,4157,12,128,Snapdragon 695,Mid-range,Yes,5.53,IPS LCD,217
X 98,Nokia,1115,2022,64,5584,16,128,Dimensity 900,Mid-range,Yes,6.27,IPS LCD,203
GT 9,Realme,306,2021,200,5975,16,512,Helio G99,Budget,Yes,5.98,AMOLED,174
GT 24,Realme,601,2021,64,5957,4,64,Snapdragon 8 Gen 2,Flagship,Yes,5.83,AMOLED,154
X 60,Nokia,308,2022,200,3649,4,256,Helio G99,Budget,Yes,5.92,IPS LCD,229
Nova 14,Huawei,701,2019,48,3903,8,128,Helio G88,Budget,Yes,5.9,AMOLED,190
X 70,Vivo,1061,2023,50,3694,4,256,Helio G99,Budget,Yes,6.69,IPS LCD,187
G 23,Motorola,689,2019,200,5592,16,256,Dimensity 900,Mid-range,Yes,6.48,IPS LCD,199
iPhone 64,Apple,320,2020,108,4254,6,256,Dimensity 1080,Mid-range,Yes,5.66,AMOLED,224
Nord 2,OnePlus,539,2024,12,4287,12,64,Snapdragon 695,Mid-range,Yes,6.05,AMOLED,201
Galaxy S 77,Samsung,591,2020,200,4638,12,128,Helio G99,Budget,Yes,6.53,AMOLED,189
G 17,Nokia,1117,2019,48,3969,8,128,Snapdragon 778G,High-end,Yes,6.53,IPS LCD,200
Galaxy A 6,Samsung,567,2023,108,3807,4,256,Snapdragon 8 Gen 2,Flagship,Yes,6.77,IPS LCD,218
P 70,Huawei,346,2020,50,4318,6,256,Apple A15 Bionic,High-end,Yes,5.88,OLED,240
X 64,Nokia,1004,2024,200,4361,12,64,Snapdragon 778G,High-end,Yes,5.84,AMOLED,222
Nova 43,Huawei,790,2019,12,5753,12,64,Snapdragon 778G,High-end,Yes,6.81,OLED,227
iPhone 92,Apple,316,2022,64,5584,16,128,Snapdragon 8 Gen 1,Flagship,Yes,6.39,IPS LCD,151
X 69,Nokia,671,2023,50,4269,4,64,Snapdragon 778G,High-end,Yes,6.6,OLED,195
Find 98,Oppo,565,2022,12,5022,12,256,Dimensity 1080,Mid-range,Yes,6.71,OLED,186
Reno 2,Oppo,429,2020,200,4924,12,128,Dimensity 1080,Mid-range,Yes,6.4,OLED,228
Nova 69,Huawei,1167,2024,50,5253,4,256,Apple A16 Bionic,Flagship,Yes,6.55,AMOLED,224
C 78,Realme,319,2022,12,5923,6,512,Snapdragon 778G,High-end,Yes,6.9,IPS LCD,234
Find 84,Oppo,541,2023,50,3648,6,64,Apple A16 Bionic,Flagship,Yes,5.89,AMOLED,224
Nova 58,Huawei,901,2024,108,5218,6,128,Snapdragon 8 Gen 2,Flagship,Yes,6.11,AMOLED,221
OnePlus 9,OnePlus,1189,2024,12,5798,4,128,Dimensity 900,Mid-range,Yes,6.86,IPS LCD,152
Find 47,Oppo,1142,2021,108,5811,16,512,Dimensity 1080,Mid-range,Yes,6.73,AMOLED,178
Edge 3,Motorola,1032,2022,50,4954,4,64,Apple A15 Bionic,High-end,Yes,6.06,AMOLED,193
Edge 74,Motorola,880,2020,12,3617,6,64,Apple A16 Bionic,Flagship,Yes,6.48,AMOLED,196
GT 5,Realme,949,2019,108,3865,12,256,Helio G99,Budget,Yes,6.04,IPS LCD,181
Poco 78,Xiaomi,916,2020,50,3551,8,512,Snapdragon 778G,High-end,Yes,5.86,IPS LCD,217
Galaxy A 44,Samsung,292,2021,48,4916,6,512,Apple A15 Bionic,High-end,Yes,6.57,AMOLED,203
Galaxy S 47,Samsung,390,2022,108,4536,16,64,Apple A16 Bionic,Flagship,Yes,6.55,IPS LCD,156
G 57,Nokia,251,2022,12,4099,4,512,Apple A15 Bionic,High-end,Yes,6.38,OLED,232
C 34,Realme,797,2024,12,5239,12,256,Dimensity 900,Mid-range,Yes,6.13,OLED,206
X 95,Vivo,329,2019,200,3664,8,64,Snapdragon 778G,High-end,Yes,6.03,OLED,222
iPhone 23,Apple,258,2021,64,4487,8,512,Apple A16 Bionic,Flagship,Yes,6.03,OLED,223
G 97,Nokia,1017,2023,108,3569,8,128,Apple A15 Bionic,High-end,Yes,5.94,AMOLED,158
Galaxy S 38,Samsung,374,2021,50,4836,4,512,Helio G99,Budget,Yes,6.16,OLED,219
Find 47,Oppo,155,2023,108,5711,8,64,Dimensity 1080,Mid-range,Yes,5.82,OLED,162
Find 65,Oppo,158,2022,12,4386,8,128,Dimensity 1080,Mid-range,Yes,6.02,AMOLED,175
Redmi Note 51,Xiaomi,972,2022,108,5925,4,256,Apple A15 Bionic,High-end,Yes,6.47,OLED,189
P 77,Huawei,263,2023,50,5775,16,512,Helio G99,Budget,Yes,6.54,OLED,231
Reno 64,Oppo,414,2023,50,5899,6,128,Helio G99,Budget,Yes,6.8,OLED,153
G 82,Motorola,1162,2020,12,4680,4,512,Apple A16 Bionic,Flagship,Yes,6.44,IPS LCD,240
Galaxy A 82,Samsung,938,2020,50,3608,12,128,Snapdragon 695,Mid-range,Yes,6.43,AMOLED,210
Galaxy S 27,Samsung,1085,2023,50,5295,16,64,Snapdragon 8 Gen 2,Flagship,Yes,5.93,IPS LCD,211
C 33,Realme,960,2022,48,5074,12,128,Snapdragon 8 Gen 1,Flagship,Yes,6.23,OLED,196
iPhone 55,Apple,620,2019,108,4303,16,512,Dimensity 900,Mid-range,Yes,6.56,IPS LCD,176
G 71,Nokia,787,2022,64,3694,8,64,Snapdragon 8 Gen 2,Flagship,Yes,6.2,IPS LCD,189
Poco 79,Xiaomi,1051,2024,12,5425,12,512,Snapdragon 8 Gen 2,Flagship,Yes,6.37,AMOLED,200
X 71,Vivo,1146,2024,108,4960,6,64,Helio G88,Budget,Yes,5.79,AMOLED,165
Y 11,Vivo,270,2019,200,4155,4,64,Snapdragon 8 Gen 2,Flagship,Yes,6.67,IPS LCD,210
Poco 21,Xiaomi,654,2024,12,5330,4,512,Dimensity 1080,Mid-range,Yes,6.62,OLED,157
OnePlus 59,OnePlus,896,2020,108,5872,6,512,Dimensity 900,Mid-range,Yes,5.6,IPS LCD,238
Nord 88,OnePlus,867,2021,48,4664,4,64,Snapdragon 8 Gen 2,Flagship,Yes,5.85,OLED,232
Find 56,Oppo,171,2023,48,4543,12,128,Snapdragon 8 Gen 1,Flagship,Yes,6.21,IPS LCD,239
Reno 72,Oppo,754,2021,64,3709,16,512,Dimensity 900,Mid-range,Yes,6.23,OLED,194
Redmi Note 52,Xiaomi,893,2024,200,5229,8,64,Snapdragon 695,Mid-range,Yes,6.87,AMOLED,222
X 95,Vivo,625,2019,50,3748,16,64,Snapdragon 695,Mid-range,Yes,6.58,OLED,196
iPhone 93,Apple,841,2024,12,3591,6,64,Helio G88,Budget,Yes,6.38,AMOLED,156
Edge 17,Motorola,1041,2023,108,5882,8,256,Apple A15 Bionic,High-end,Yes,5.85,IPS LCD,190
Reno 59,Oppo,854,2019,50,3556,8,512,Dimensity 1080,Mid-range,Yes,5.67,AMOLED,153
Mi 72,Xiaomi,345,2023,64,4876,6,512,Snapdragon 778G,High-end,Yes,6.26,OLED,150
Find 3,Oppo,404,2021,50,5965,16,128,Helio G88,Budget,Yes,6.51,IPS LCD,168
Find 7,Oppo,1138,2023,64,5570,4,64,Dimensity 1080,Mid-range,Yes,5.78,AMOLED,188
Nova 29,Huawei,655,2022,64,4199,8,64,Helio G99,Budget,Yes,6.11,OLED,207
Mi 35,Xiaomi,721,2020,200,4069,4,512,Dimensity 900,Mid-range,Yes,6.49,AMOLED,225
G 57,Nokia,860,2019,108,4662,12,64,Snapdragon 695,Mid-range,Yes,5.81,AMOLED,225
Galaxy S 11,Samsung,925,2022,50,5885,16,256,Helio G88,Budget,Yes,5.8,IPS LCD,223
iPhone 56,Apple,431,2020,50,5333,4,128,Helio G88,Budget,Yes,5.53,AMOLED,233
Poco 41,Xiaomi,760,2019,200,4244,4,128,Apple A15 Bionic,High-end,Yes,6.68,AMOLED,152
Galaxy M 39,Samsung,629,2023,64,3812,8,128,Snapdragon 778G,High-end,Yes,6.53,OLED,229
OnePlus 25,OnePlus,1000,2024,108,3751,8,128,Snapdragon 8 Gen 1,Flagship,Yes,5.79,AMOLED,220
Reno 15,Oppo,1026,2021,108,4172,16,256,Snapdragon 778G,High-end,Yes,6.2,IPS LCD,189
Galaxy A 25,Samsung,357,2022,50,5679,8,64,Snapdragon 778G,High-end,Yes,6.52,IPS LCD,153
Galaxy A 42,Samsung,1095,2019,64,5164,16,128,Apple A16 Bionic,Flagship,Yes,6.27,IPS LCD,173
Nova 96,Huawei,692,2024,48,3565,4,512,Helio G99,Budget,Yes,6.0,IPS LCD,192
G 43,Motorola,1062,2019,48,4160,4,256,Snapdragon 8 Gen 1,Flagship,Yes,5.99,AMOLED,170
Galaxy A 88,Samsung,749,2022,64,4244,6,64,Snapdragon 8 Gen 1,Flagship,Yes,6.68,OLED,178
Reno 35,Oppo,1137,2019,64,5795,6,512,Helio G99,Budget,Yes,6.47,IPS LCD,176
OnePlus 7,OnePlus,1077,2022,64,4027,16,256,Apple A15 Bionic,High-end,Yes,6.26,AMOLED,162
C 81,Realme,965,2021,50,4466,6,512,Snapdragon 778G,High-end,Yes,6.35,OLED,167
X 97,Vivo,1030,2023,12,4988,12,256,Helio G99,Budget,Yes,5.98,IPS LCD,221
Reno 70,Oppo,525,2022,48,4245,8,256,Apple A15 Bionic,High-end,Yes,5.61,IPS LCD,218
P 68,Huawei,288,2023,200,3622,8,256,Dimensity 1080,Mid-range,Yes,5.64,IPS LCD,201
Reno 12,Oppo,1121,2022,12,5733,12,128,Dimensity 900,Mid-range,Yes,5.62,AMOLED,195
C 37,Realme,329,2024,200,3946,6,256,Helio G99,Budget,Yes,6.67,OLED,163
iPhone 57,Apple,175,2023,200,3881,8,128,Dimensity 1080,Mid-range,Yes,6.76,AMOLED,213
GT 25,Realme,203,2020,12,4817,4,64,Snapdragon 695,Mid-range,Yes,6.86,AMOLED,239
Mi 79,Xiaomi,968,2019,48,5366,4,64,Snapdragon 695,Mid-range,Yes,6.18,OLED,228
Nord 60,OnePlus,1193,2024,64,5565,12,64,Helio G99,Budget,Yes,6.26,AMOLED,213
Galaxy M 15,Samsung,625,2019,200,4605,8,512,Helio G99,Budget,Yes,5.57,AMOLED,235
X 27,Vivo,187,2022,50,3829,6,512,Apple A15 Bionic,High-end,No,6.5,IPS LCD,218
P 44,Huawei,1190,2019,12,3641,16,512,Apple A16 Bionic,Flagship,Yes,5.89,AMOLED,180
Nord 73,OnePlus,662,2024,108,4603,8,256,Apple A15 Bionic,High-end,Yes,5.84,AMOLED,239
Nova 90,Huawei,362,2023,64,5364,16,256,Snapdragon 778G,High-end,Yes,6.49,IPS LCD,182
Redmi Note 79,Xiaomi,236,2024,12,4560,4,512,Helio G88,Budget,No,6.15,AMOLED,161
Reno 27,Oppo,1190,2022,200,5992,16,512,Apple A16 Bionic,Flagship,Yes,6.57,AMOLED,216
iPhone 50,Apple,1049,2021,50,5063,8,128,Snapdragon 778G,High-end,Yes,5.7,OLED,225
C 42,Realme,228,2024,12,4644,8,128,Helio G88,Budget,No,6.86,IPS LCD,238
C 82,Realme,594,2019,50,4085,8,256,Apple A15 Bionic,High-end,Yes,6.76,OLED,208
X 21,Nokia,789,2019,50,5067,6,64,Dimensity 1080,Mid-range,Yes,5.6,AMOLED,204
Nord 50,OnePlus,568,2024,12,5781,6,64,Helio G88,Budget,Yes,6.81,OLED,163
OnePlus 41,OnePlus,1060,2022,108,4137,8,512,Dimensity 900,Mid-range,Yes,6.83,OLED,239
iPhone 32,Apple,1074,2023,48,5029,4,64,Snapdragon 778G,High-end,Yes,5.71,AMOLED,204
Poco 28,Xiaomi,802,2023,200,5369,12,64,Dimensity 900,Mid-range,Yes,5.68,OLED,152
iPhone 66,Apple,212,2021,108,5456,4,256,Helio G88,Budget,No,6.82,OLED,198
C 4,Realme,222,2023,12,5846,8,512,Snapdragon 8 Gen 2,Flagship,Yes,5.79,OLED,153
P 1,Huawei,336,2020,12,4522,4,64,Apple A16 Bionic,Flagship,Yes,5.86,OLED,214
P 34,Huawei,776,2019,108,3772,6,256,Apple A16 Bionic,Flagship,Yes,6.44,AMOLED,216
GT 8,Realme,289,2019,12,4422,4,512,Apple A16 Bionic,Flagship,Yes,6.68,OLED,183
G 51,Nokia,1153,2022,12,5607,8,128,Dimensity 900,Mid-range,Yes,6.85,IPS LCD,174
G 17,Nokia,782,2023,48,5594,12,512,Helio G88,Budget,Yes,6.82,IPS LCD,166
